,product_name,product_price,product_rating,sold_quantity,category_name,scraped_date,Product Price(USD),Product Price(GBP),Product Price(EUR),Product Price(INR)
136,Black Label Blended Scotch Whisky 375ml,3600.0,0.0,0.0,Spirits,12/05/2024,26.97,21.62,25.0,2250.0
137,Highlander Vodka 750 Ml,1080.0,0.0,0.0,Spirits,12/05/2024,8.09,6.49,7.5,675.0
138,Old Durbar Reserve Whisky - 1L -By Cheers Online,3515.0,4.6,5.0,Spirits,12/05/2024,26.33,21.11,24.41,2196.88
139,Limpa Apricot Brandy 750ml By World Marpha Wine Udhyog Pvt.Ltd,1175.0,0.0,0.0,Spirits,12/05/2024,8.8,7.06,8.16,734.38
140,Old Durbar Black Chimney Whisky - 1L -By Cheers Online,4635.0,5.0,3.0,Spirits,12/05/2024,34.72,27.84,32.19,2896.88
141,Signature Premier Grain Whisky - 1L -By Cheers Online,3470.0,4.0,0.0,Spirits,12/05/2024,26.0,20.84,24.1,2168.75
142,Old Durbar Reserve -1L,3515.0,5.0,0.0,Spirits,12/05/2024,26.33,21.11,24.41,2196.88
143,Khukuri XXX Domestic Rum - 750ML -By Cheers Online,2050.0,4.6,4.0,Spirits,12/05/2024,15.36,12.31,14.24,1281.25
144,"8848 Vodka, 750ml -By Cheers Online",2145.0,5.0,6.0,Spirits,12/05/2024,16.07,12.88,14.9,1340.62
145,Chivas Regal 12yrs  Whisky -1L,9000.0,5.0,0.0,Spirits,12/05/2024,67.43,54.05,62.5,5625.0
146,Limpa Mitho 750ML 30UP Marpha Apple Brandy,950.0,5.0,0.0,Spirits,12/05/2024,7.12,5.71,6.6,593.75
147,Yarchagumba Beverage Golden Sapphire 750ML -By Cheers Online,11000.0,4.3,3.0,Spirits,12/05/2024,82.41,66.06,76.39,6875.0
148,Mustang Gold Whisky - 750ML -By Cheers Online,1200.0,5.0,0.0,Spirits,12/05/2024,8.99,7.21,8.33,750.0
149,Jack Daniel's Fire Tennessee Whisky - 750 ml -By Cheers Online,6245.0,5.0,0.0,Spirits,12/05/2024,46.79,37.51,43.37,3903.12
150,Johnnie Walker Black Label Premium Whisky - 750ML -By Cheers Online,6900.0,5.0,4.0,Spirits,12/05/2024,51.69,41.44,47.92,4312.5
151,Soju Good Day Original 360 ml,1300.0,5.0,0.0,Spirits,12/05/2024,9.74,7.81,9.03,812.5
152,Himalayan Brandy - 750ML -By Cheers Online,1950.0,4.3,0.0,Spirits,12/05/2024,14.61,11.71,13.54,1218.75
153,Johnnie Walker Double Black Whisky 750Ml,8200.0,0.0,0.0,Spirits,12/05/2024,61.43,49.25,56.95,5125.0
154,8848 Rye Vodka x Tsherin Sherpa - 750ML -By Cheers Online,2400.0,5.0,0.0,Spirits,12/05/2024,17.98,14.41,16.67,1500.0
155,Old Monk XXX Rum - 750ml -By Cheers Online,1950.0,5.0,3.0,Spirits,12/05/2024,14.61,11.71,13.54,1218.75
156,Yeti Vodka - 750ML -By Cheers Online,2260.0,4.7,0.0,Spirits,12/05/2024,16.93,13.57,15.7,1412.5
157,Gurkhas and Guns Finest Blended Whisky - 750ML -By Cheers Online,3080.0,5.0,5.0,Spirits,12/05/2024,23.07,18.5,21.39,1925.0
158,The Glenlivet Founder's Reserve Whisky - 1L -By Cheers Online,9800.0,0.0,0.0,Spirits,12/05/2024,73.42,58.86,68.06,6125.0
159,Old Durbar Black Chimney Whisky - 750 ml -By Cheers Online,3650.0,4.8,3.0,Spirits,12/05/2024,27.34,21.92,25.35,2281.25
160,Bandipur Blended Malt Scotch Whisky - 750ML -By Cheers Online,4950.0,5.0,0.0,Spirits,12/05/2024,37.08,29.73,34.38,3093.75
161,Khukuri White Domestic Rum - 750ML -By Cheers Online,2400.0,1.0,0.0,Spirits,12/05/2024,17.98,14.41,16.67,1500.0
162,"Captain Morgan Spiced Gold Rum, 1L -By Cheers Online",6700.0,5.0,0.0,Spirits,12/05/2024,50.19,40.24,46.53,4187.5
163,Malibu Coconut Rum - 1L -By Cheers Online,7150.0,5.0,0.0,Spirits,12/05/2024,53.57,42.94,49.66,4468.75
164,Khukuri Spice Domestic Rum -750Ml,2350.0,5.0,0.0,Spirits,12/05/2024,17.61,14.11,16.32,1468.75
165,The Himalayan Reserve Whisky - 750ML -By Cheers Online,3400.0,5.0,0.0,Spirits,12/05/2024,25.47,20.42,23.61,2125.0
166,Jack Daniel's Tennessee Whisky - 1 ltr -By Cheers Online,8160.0,4.3,0.0,Spirits,12/05/2024,61.13,49.01,56.67,5100.0
167,Arna 8 Beer 330Ml,175.0,5.0,4.0,Beer,12/05/2024,1.31,1.05,1.22,109.38
168,Arna 8 Wild Himalayan Beer 650Ml,330.0,0.0,0.0,Beer,12/05/2024,2.47,1.98,2.29,206.25
169,Arna (8) 500 Ml Can Beer,260.0,0.0,0.0,Beer,12/05/2024,1.95,1.56,1.81,162.5
170,Budwiser Magnum 650 Ml,350.0,0.0,0.0,Beer,12/05/2024,2.62,2.1,2.43,218.75
171,Yeti Premium Lager Beer 330 ML,180.0,0.0,0.0,Beer,12/05/2024,1.35,1.08,1.25,112.5
172,Craft Beer Barahsinghe Pilsner Beer 650ml,399.0,0.0,0.0,Beer,12/05/2024,2.99,2.4,2.77,249.38
173,Good Quality Budwiser Magnum 330 Ml,180.0,0.0,0.0,Beer,12/05/2024,1.35,1.08,1.25,112.5
174,Budweiser Beer 650 Ml,390.0,0.0,0.0,Beer,12/05/2024,2.92,2.34,2.71,243.75
175,Barahsinghe Super Strong Beer 650 ML,290.0,0.0,0.0,Beer,12/05/2024,2.17,1.74,2.01,181.25
176,Budweiser Beer 330 Ml,195.0,0.0,0.0,Beer,12/05/2024,1.46,1.17,1.35,121.88
177,Barshinge Strong Beer 650 Ml,2452.0,0.0,0.0,Beer,12/05/2024,18.37,14.73,17.03,1532.5
178,Arna Premium Lager Beer 650 ML,400.0,0.0,0.0,Beer,12/05/2024,3.0,2.4,2.78,250.0
179,Budweiser Magnum Premium Beer 650 ML,360.0,0.0,0.0,Beer,12/05/2024,2.7,2.16,2.5,225.0
