,product_name,product_price,product_rating,sold_quantity,category_name,scraped_date,Product Price(USD),Product Price(GBP),Product Price(EUR),Product Price(INR)
191,Vermouth Bianco/White Bottega 16% 75Cl - 750 ml,3600.0,0.0,0.0,Spirits,25/04/2024,26.97,21.62,25.0,2250.0
192,Minsk Luxury 750Ml,1200.0,0.0,0.0,Spirits,25/04/2024,8.99,7.21,8.33,750.0
193,Elixir Amaro Erbe Alpine Bottega Bio 21% Cl50 - 500 ml,4500.0,0.0,0.0,Spirits,25/04/2024,33.71,27.03,31.25,2812.5
194,Martell VSOP Brandy - 1L -By Cheers Online,15200.0,0.0,0.0,Spirits,25/04/2024,113.87,91.29,105.56,9500.0
195,Johnee Walker Double Black 1000 Ml,9700.0,0.0,0.0,Spirits,25/04/2024,72.67,58.25,67.37,6062.5
196,Bitter Accademia - 750 ml,8500.0,0.0,0.0,Spirits,25/04/2024,63.68,51.05,59.03,5312.5
197,Agavita Gold - 700ML Tequila,5200.0,0.0,0.0,Spirits,25/04/2024,38.96,31.23,36.11,3250.0
198,Blue Fin 750Ml,1200.0,0.0,0.0,Spirits,25/04/2024,8.99,7.21,8.33,750.0
199,Johnee Walker Double Black 750 Ml,8500.0,0.0,0.0,Spirits,25/04/2024,63.68,51.05,59.03,5312.5
200,Founder Reserves 1000ml,9800.0,0.0,0.0,Spirits,25/04/2024,73.42,58.86,68.06,6125.0
201,Blue Fin 180Ml,300.0,0.0,0.0,Spirits,25/04/2024,2.25,1.8,2.08,187.5
202,Gordon's London Dry Gin - 1 ltr -By Cheers Online,6700.0,0.0,0.0,Spirits,25/04/2024,50.19,40.24,46.53,4187.5
203,Gordon's special London dry gin - 1 Ltr,6700.0,0.0,0.0,Spirits,25/04/2024,50.19,40.24,46.53,4187.5
204,Bandipur -750ml,5000.0,0.0,0.0,Spirits,25/04/2024,37.46,30.03,34.72,3125.0
205,Yeti Vodka 180 ml,550.0,0.0,0.0,Spirits,25/04/2024,4.12,3.3,3.82,343.75
206,"Camino Real Gold Tequila, 750ml -By Cheers Online",6500.0,0.0,0.0,Spirits,25/04/2024,48.7,39.04,45.14,4062.5
207,Beefeater Gin 500Ml,3650.0,0.0,0.0,Spirits,25/04/2024,27.34,21.92,25.35,2281.25
208,Passport Old Reserve Blend Select Barrels 750,1140.0,0.0,0.0,Spirits,25/04/2024,8.54,6.85,7.92,712.5
